Parent Region,District,2001_Grasslands,2001_Croplands,2001_Urban and Built-up Lands,2001_Barren,2001_Your Landcover Name for 17,2001_Evergreen Broadleaf Forests,2001_Deciduous Broadleaf Forests,2001_Woody Savannas,2001_Savannas,2005_Grasslands,2005_Croplands,2005_Urban and Built-up Lands,2005_Barren,2005_Your Landcover Name for 17,2005_Evergreen Broadleaf Forests,2005_Deciduous Broadleaf Forests,2005_Mixed Forests,2005_Woody Savannas,2005_Savannas,2010_Grasslands,2010_Croplands,2010_Urban and Built-up Lands,2010_Barren,2010_Your Landcover Name for 17,2010_Evergreen Broadleaf Forests,2010_Deciduous Broadleaf Forests,2010_Mixed Forests,2010_Woody Savannas,2010_Savannas,2015_Grasslands,2015_Croplands,2015_Urban and Built-up Lands,2015_Cropland/Natural Vegetation Mosaics,2015_Barren,2015_Your Landcover Name for 17,2015_Evergreen Broadleaf Forests,2015_Deciduous Broadleaf Forests,2015_Mixed Forests,2015_Woody Savannas,2015_Savannas,2020_Grasslands,2020_Croplands,2020_Urban and Built-up Lands,2020_Cropland/Natural Vegetation Mosaics,2020_Barren,2020_Your Landcover Name for 17,2020_Evergreen Broadleaf Forests,2020_Deciduous Broadleaf Forests,2020_Mixed Forests,2020_Woody Savannas,2020_Savannas,2001_Grasslands_Weighted,2001_Croplands_Weighted,2001_Urban and Built-up Lands_Weighted,2001_Barren_Weighted,2001_Your Landcover Name for 17_Weighted,2001_Evergreen Broadleaf Forests_Weighted,2001_Deciduous Broadleaf Forests_Weighted,2001_Woody Savannas_Weighted,2001_Savannas_Weighted,ESS2001,ESS2001_Normalized,ESS2001NORM,2005_Grasslands_Weighted,2005_Croplands_Weighted,2005_Urban and Built-up Lands_Weighted,2005_Barren_Weighted,2005_Your Landcover Name for 17_Weighted,2005_Evergreen Broadleaf Forests_Weighted,2005_Deciduous Broadleaf Forests_Weighted,2005_Woody Savannas_Weighted,2005_Savannas_Weighted,2005_Mixed Forests_Weighted,ESS2005,ESS2005_Normalized,2010_Grasslands_Weighted,2010_Croplands_Weighted,2010_Urban and Built-up Lands_Weighted,2010_Barren_Weighted,2010_Your Landcover Name for 17_Weighted,2010_Evergreen Broadleaf Forests_Weighted,2010_Deciduous Broadleaf Forests_Weighted,2010_Woody Savannas_Weighted,2010_Savannas_Weighted,2010_Mixed Forests_Weighted,ESS2010,ESS2010_Normalized,2015_Grasslands_Weighted,2015_Croplands_Weighted,2015_Urban and Built-up Lands_Weighted,2015_Barren_Weighted,2015_Your Landcover Name for 17_Weighted,2015_Evergreen Broadleaf Forests_Weighted,2015_Deciduous Broadleaf Forests_Weighted,2015_Woody Savannas_Weighted,2015_Savannas_Weighted,2015_Mixed Forests_Weighted,2015_Cropland/Natural Vegetation Mosaics_Weighted,ESS2015,ESS2015_Normalized,2020_Grasslands_Weighted,2020_Croplands_Weighted,2020_Urban and Built-up Lands_Weighted,2020_Barren_Weighted,2020_Your Landcover Name for 17_Weighted,2020_Evergreen Broadleaf Forests_Weighted,2020_Deciduous Broadleaf Forests_Weighted,2020_Woody Savannas_Weighted,2020_Savannas_Weighted,2020_Mixed Forests_Weighted,2020_Cropland/Natural Vegetation Mosaics_Weighted,ESS2020,ESS2020_Normalized
Region V (Bicol region),Catanduanes,46.8627451,1.25,8.578431373,,35.13333333,1257.246078,,78.12745098,2.184313725,54.10882353,1.5,8.578431373,,35.13333333,1233.410784,,,100.2372549,1.25,57.12843137,0.25,8.578431373,,35.13333333,1171.443137,,,156.4068627,2.25,44.55098039,0.75,8.578431373,,,35.13333333,1149.470588,,,187.0382353,2.5,61.8745098,2,8.578431373,0.25,,35.13333333,1078.428431,,,238.6441176,1.25,2015.1,20.0,60.0,,1510.7,54061.6,,3359.5,93.9,61120.9,0.1,-0.9,2326.7,24.0,60.0,,1510.7,53036.7,,4310.2,53.8,,61322.1,0.2,2456.5,4.0,60.0,,1510.7,50372.1,,6725.5,96.8,,61225.6,0.2,1915.7,12.0,60.0,,1510.7,49427.2,,8042.6,107.5,,,61075.9,0.1,2660.6,32.0,60.0,,1510.7,46372.4,,10261.7,53.8,,4.0,60955.3,0.1
Region V (Bicol region),Masbate,302.6764706,160.6215686,3.751960784,,136.9333333,171.0921569,,721.9529412,735.8254902,231.2411765,138.1137255,3.751960784,,137.0852941,152.1686275,,0.014705882,832.9117647,768.6843137,234.2254902,51.37941176,3.751960784,,137.0647059,180.9627451,,,874.4705882,694.3205882,242.7960784,96.85196078,4.501960784,1579.966667,,137.0647059,160.3117647,,,970.6078431,632.622549,373.0137255,166.0764706,4.751960784,1470.512745,,136.9127451,168.1166667,0.283333333,,924.9372549,577.2245098,13015.1,2569.9,26.3,,5888.1,7357.0,,31044.0,31640.5,91540.9,0.2,-0.8,9943.4,2209.8,26.3,,5894.7,6543.3,,35815.2,33053.4,0.6,93486.6,0.2,10071.7,822.1,26.3,,5893.8,7781.4,,37602.2,29855.8,,92053.2,0.2,10440.2,1549.6,31.5,,5893.8,6893.4,,41736.1,27202.8,,25279.5,119026.9,0.3,16039.6,2657.2,33.3,,5887.2,7229.0,12.2,39772.3,24820.7,,23528.2,119979.7,0.3
Region V (Bicol region),Sorsogon,128.7754902,28.74901961,11.75,,48.31666667,1152.132353,,480.9882353,28.03627451,138.4333333,32.49901961,11.75,,48.56666667,1097.652941,,,539.7303922,39.29705882,158.0127451,35.24901961,11.75,,48.56666667,1046.040196,,,584.9372549,31.03823529,165.0813725,43.44117647,12,10.25,,48.31666667,949.1,,,678.8656863,25.75392157,243.1745098,42.3754902,12,7.75,,48.31666667,824.2196078,,,741.5362745,14.74803922,5537.3,460.0,82.3,,2077.6,49541.7,,20682.5,1205.6,79586.9,0.2,-0.8,5952.6,520.0,82.3,,2088.4,47199.1,,23208.4,1689.8,,80740.5,0.2,6794.5,564.0,82.3,,2088.4,44979.7,,25152.3,1334.6,,80995.8,0.2,7098.5,695.1,84.0,,2077.6,40811.3,,29191.2,1107.4,,164.0,81229.1,0.2,10456.5,678.0,84.0,,2077.6,35441.4,,31886.1,634.2,,124.0,81381.8,0.2
Region VIII (Eastern Visayas),Northern Samar,292.6205882,1.5,14.14019608,,91.86470588,2538.326471,,123.3931373,1.454901961,263.0901961,0.75,14.14019608,,92.52647059,2523.832353,,,191.0441176,2.704901961,259.2578431,0.25,14.14019608,,91.95784314,2454.347059,,,265.0843137,3.343137255,214.4068627,0.5,14.14019608,3.25,0.008823529,91.71764706,2335.837255,,,438.2970588,5.093137255,397.5705882,2.5,14.14019608,1.5,0.008823529,91.71764706,2072.42451,,,544.554902,4.039215686,12582.7,24.0,99.0,,3950.2,109148.0,,5305.9,62.6,131172.4,0.4,-0.7,11312.9,12.0,99.0,,3978.6,108524.8,,8214.9,116.3,,132258.5,0.4,11148.1,4.0,99.0,,3954.2,105536.9,,11398.6,143.8,,132284.6,0.4,9219.5,8.0,99.0,0.1,3943.9,100441.0,,18846.8,219.0,,52.0,132829.2,0.4,17095.5,40.0,99.0,0.1,3943.9,89114.3,,23415.9,173.7,,24.0,133906.3,0.4
Region III (Central Luzon),Bataan,195.4941176,205.2843137,33.38039216,0.16372549,37.63235294,409.3137255,1.406862745,95.12843137,272.3431373,112.6333333,177.8176471,33.38039216,0.16372549,37.74901961,408.2833333,2.391176471,0.397058824,147.295098,332.4784314,122.0343137,135.3941176,33.88039216,0.070588235,38.46960784,393.2362745,0.720588235,0.75,195.1362745,322.4519608,111.5696078,142.1862745,34.13039216,27.91862745,0.070588235,38.46960784,389.2411765,1.75,0.5,242.0529412,284.6833333,101.5068627,103.6352941,34.88039216,37.05392157,0.070588235,38.15392157,408.9088235,1.220588235,,326.0323529,221.1176471,8406.2,3284.5,233.7,2.3,1618.2,17600.5,60.5,4090.5,11710.8,47007.2,0.1,-0.9,4843.2,2845.1,233.7,2.3,1623.2,17556.2,102.8,6333.7,14296.6,17.1,47853.8,0.1,5247.5,2166.3,237.2,1.0,1654.2,16909.2,31.0,8390.9,13865.4,32.3,48534.8,0.1,4797.5,2275.0,238.9,1.0,1654.2,16737.4,75.3,10408.3,12241.4,21.5,446.7,48897.0,0.1,4364.8,1658.2,244.2,1.0,1640.6,17583.1,52.5,14019.4,9508.1,,592.9,49664.6,0.1
Region III (Central Luzon),Bulacan,80.12843137,810.127451,149.5941176,1.5,260.2166667,835.0284314,,125.5843137,378.8568627,58.17843137,775.0990196,150.3441176,1.5,260.2166667,779.127451,0.219607843,,181.8666667,456.4843137,67.16078431,687.3137255,155.3441176,,261.2166667,729.0558824,,,255.85,464.3343137,68.60784314,675.2441176,167.0941176,90.39607843,,260.7166667,721.545098,,,272.5931373,438.4088235,63.41176471,661.2431373,179.4666667,105.4401961,0.5,260.7166667,733.1196078,,,310.2705882,377.6872549,3445.5,12962.0,1047.2,20.6,11189.3,35906.2,,5400.1,16290.8,86261.9,0.2,-0.8,2501.7,12401.6,1052.4,20.6,11189.3,33502.5,9.4,7820.3,19628.8,,88126.6,0.2,2887.9,10997.0,1087.4,,11232.3,31349.4,,11001.6,19966.4,,88522.0,0.2,2950.1,10803.9,1169.7,,11210.8,31026.4,,11721.5,18851.6,,1446.3,89180.4,0.2,2726.7,10579.9,1256.3,6.9,11210.8,31524.1,,13341.6,16240.6,,1687.0,88573.9,0.2
Region III (Central Luzon),Nueva Ecija,119.8196078,2633.195098,152.4764706,0.25,22.28333333,958.4627451,4.25,102.7303922,1244.706863,139.6519608,2535.459804,152.4764706,,29.03333333,923.6784314,3.029411765,,141.3509804,1318.630392,174.5186275,2501.6,152.7264706,,26.03333333,894.3862745,0.75,0.5,216.0568627,1263.29902,188.6127451,2551.214706,152.7264706,148.5931373,,23.78333333,859.0343137,1,0.5,282.7156863,1184.85098,156.4558824,2488.373529,152.9764706,176.6098039,,23.03333333,956.7578431,2,,385.2833333,1051.785294,5152.2,42131.1,1067.3,3.4,958.2,41213.9,182.8,4417.4,53522.4,148648.8,0.4,-0.6,6005.0,40567.4,1067.3,,1248.4,39718.2,130.3,6078.1,56701.1,,151515.8,0.4,7504.3,40025.6,1069.1,,1119.4,38458.6,32.3,9290.4,54321.9,21.5,151843.1,0.4,8110.3,40819.4,1069.1,,1022.7,36938.5,43.0,12156.8,50948.6,21.5,2377.5,153507.4,0.4,6727.6,39814.0,1070.8,,990.4,41140.6,86.0,16567.2,45226.8,,2825.8,154449.1,0.4
Region III (Central Luzon),Pampanga,247.9980392,579.4205882,201.2901961,0.25,138.0637255,49.68039216,,10.1245098,481.6441176,222.9137255,557.822549,204.2901961,,138.6696078,53.1872549,,,30.45686275,487.0705882,217.0107843,541.7558824,208.2901961,,139.8460784,45.15,,,74.02058824,440.5558824,197.2245098,548.4627451,210.0401961,128.0794118,,139.8460784,33.0372549,,,103.1882353,433.7441176,161.445098,495.45,215.7901961,157.1686275,,139.6843137,46.15588235,,,133.7176471,442.8186275,10663.9,9270.7,1409.0,3.4,5936.7,2136.3,,435.4,20710.7,50566.2,0.1,-0.9,9585.3,8925.2,1430.0,,5962.8,2287.1,,1309.6,20944.0,,50444.0,0.1,9331.5,8668.1,1458.0,,6013.4,1941.5,,3182.9,18943.9,,49539.2,0.1,8480.7,8775.4,1470.3,,6013.4,1420.6,,4437.1,18651.0,,2049.3,51297.7,0.1,6942.1,7927.2,1510.5,,6006.4,1984.7,,5749.9,19041.2,,2514.7,51676.8,0.1
Region III (Central Luzon),Tarlac,188.1294118,1476.709804,83.62941176,,3.5,406.5813725,6.25,51.65,648.3029412,171.954902,1422.713725,83.62941176,,3.5,395.9294118,5.75,0.75,87.02941176,678.4392157,186.2558824,1427.119608,83.87941176,,3.5,390.1166667,5.75,0.25,170.6931373,590.1352941,149.2705882,1401.204902,84.62941176,54.58823529,,3.5,356.6784314,6.5,,238.2529412,611.2480392,133.7931373,1289.719608,85.37941176,127.7941176,,3.5,343.5460784,5.25,,304.0088235,613.1313725,8089.6,23627.4,585.4,,150.5,17483.0,268.8,2221.0,27877.0,80302.6,0.2,-0.8,7394.1,22763.4,585.4,,150.5,17025.0,247.3,3742.3,29172.9,32.3,81113.0,0.2,8009.0,22833.9,587.2,,150.5,16775.0,247.3,7339.8,25375.8,10.8,81329.2,0.2,6418.6,22419.3,592.4,,150.5,15337.2,279.5,10244.9,26283.7,,873.4,82599.4,0.2,5753.1,20635.5,597.7,,150.5,14772.5,225.8,13072.4,26364.6,,2044.7,83616.7,0.2
Region III (Central Luzon),Zambales,456.0745098,229.7196078,47.85490196,25.26568627,36.30588235,881.0784314,,238.3,1671.096078,399.6656863,196.4696078,48.10490196,23.8,36.32156863,859.8186275,0.25,,339.6715686,1696.270588,403.2970588,208.3852941,48.10490196,17.05,36.07156863,830.9460784,,0.25,404.5254902,1629.266667,365.9901961,260.4509804,48.10490196,44.75,21.90980392,36.07156863,816.8362745,0.5,,478.5382353,1547.909804,318.5647059,250.5460784,48.35490196,39.25196078,7.659803922,36.32156863,864.9245098,,,595.6803922,1464.428431,19611.2,3675.5,335.0,347.4,1561.2,37886.4,,10246.9,71857.1,145520.7,0.4,-0.6,17185.6,3143.5,336.7,327.3,1561.8,36972.2,10.8,14605.9,72939.6,,147083.4,0.4,17341.8,3334.2,336.7,234.4,1551.1,35730.7,,17394.6,70058.5,10.8,145992.7,0.4,15737.6,4167.2,336.7,301.3,1551.1,35124.0,21.5,20577.1,66560.1,,716.0,145092.6,0.4,13698.3,4008.7,338.5,105.3,1561.8,37191.8,,25614.3,62970.4,,628.0,146117.1,0.4
