Parent Region,District,2001_Grasslands,2001_Croplands,2001_Urban and Built-up Lands,2001_Barren,2001_Your Landcover Name for 17,2001_Evergreen Broadleaf Forests,2001_Deciduous Broadleaf Forests,2001_Woody Savannas,2001_Savannas,2005_Grasslands,2005_Croplands,2005_Urban and Built-up Lands,2005_Barren,2005_Your Landcover Name for 17,2005_Evergreen Broadleaf Forests,2005_Deciduous Broadleaf Forests,2005_Mixed Forests,2005_Woody Savannas,2005_Savannas,2010_Grasslands,2010_Croplands,2010_Urban and Built-up Lands,2010_Barren,2010_Your Landcover Name for 17,2010_Evergreen Broadleaf Forests,2010_Deciduous Broadleaf Forests,2010_Mixed Forests,2010_Woody Savannas,2010_Savannas,2015_Grasslands,2015_Croplands,2015_Urban and Built-up Lands,2015_Cropland/Natural Vegetation Mosaics,2015_Barren,2015_Your Landcover Name for 17,2015_Evergreen Broadleaf Forests,2015_Deciduous Broadleaf Forests,2015_Mixed Forests,2015_Woody Savannas,2015_Savannas,2020_Grasslands,2020_Croplands,2020_Urban and Built-up Lands,2020_Cropland/Natural Vegetation Mosaics,2020_Barren,2020_Your Landcover Name for 17,2020_Evergreen Broadleaf Forests,2020_Deciduous Broadleaf Forests,2020_Mixed Forests,2020_Woody Savannas,2020_Savannas,2001_Grasslands_Weighted,2001_Croplands_Weighted,2001_Urban and Built-up Lands_Weighted,2001_Barren_Weighted,2001_Your Landcover Name for 17_Weighted,2001_Evergreen Broadleaf Forests_Weighted,2001_Deciduous Broadleaf Forests_Weighted,2001_Woody Savannas_Weighted,2001_Savannas_Weighted,ESS2001,ESS2001_Normalized,ESS2001NORM,2005_Grasslands_Weighted,2005_Croplands_Weighted,2005_Urban and Built-up Lands_Weighted,2005_Barren_Weighted,2005_Your Landcover Name for 17_Weighted,2005_Evergreen Broadleaf Forests_Weighted,2005_Deciduous Broadleaf Forests_Weighted,2005_Woody Savannas_Weighted,2005_Savannas_Weighted,2005_Mixed Forests_Weighted,ESS2005,ESS2005_Normalized,2010_Grasslands_Weighted,2010_Croplands_Weighted,2010_Urban and Built-up Lands_Weighted,2010_Barren_Weighted,2010_Your Landcover Name for 17_Weighted,2010_Evergreen Broadleaf Forests_Weighted,2010_Deciduous Broadleaf Forests_Weighted,2010_Woody Savannas_Weighted,2010_Savannas_Weighted,2010_Mixed Forests_Weighted,ESS2010,ESS2010_Normalized,2015_Grasslands_Weighted,2015_Croplands_Weighted,2015_Urban and Built-up Lands_Weighted,2015_Barren_Weighted,2015_Your Landcover Name for 17_Weighted,2015_Evergreen Broadleaf Forests_Weighted,2015_Deciduous Broadleaf Forests_Weighted,2015_Woody Savannas_Weighted,2015_Savannas_Weighted,2015_Mixed Forests_Weighted,2015_Cropland/Natural Vegetation Mosaics_Weighted,ESS2015,ESS2015_Normalized,2020_Grasslands_Weighted,2020_Croplands_Weighted,2020_Urban and Built-up Lands_Weighted,2020_Barren_Weighted,2020_Your Landcover Name for 17_Weighted,2020_Evergreen Broadleaf Forests_Weighted,2020_Deciduous Broadleaf Forests_Weighted,2020_Woody Savannas_Weighted,2020_Savannas_Weighted,2020_Mixed Forests_Weighted,2020_Cropland/Natural Vegetation Mosaics_Weighted,ESS2020,ESS2020_Normalized
Region III (Central Luzon),Aurora,139.2588235,3,9.817647059,,31.61960784,2563.433333,,130.8196078,49.57058824,153.4343137,2,9.817647059,,31.61960784,2506.771569,,0.25,158.9862745,59.16764706,156.2352941,1.25,9.817647059,,31.61960784,2465.476471,,,188.8686275,72.24901961,167.627451,3,9.817647059,,,31.61960784,2394.385294,,0.154901961,248.3745098,70.9245098,187.1519608,7,9.817647059,0.75,,31.61960784,2408.383333,0.25,,222.1254902,55.64509804,5988.1,48.0,68.7,,1359.6,110227.6,,5625.2,2131.5,125448.9,0.3,-0.7,6597.7,32.0,68.7,,1359.6,107791.2,,6836.4,2544.2,10.8,125240.6,0.3,6718.1,20.0,68.7,,1359.6,106015.5,,8121.4,3106.7,,125410.0,0.3,7208.0,48.0,68.7,,1359.6,102958.6,,10680.1,3049.8,6.7,,125379.4,0.3,8047.5,112.0,68.7,,1359.6,103560.5,10.8,9551.4,2392.7,,12.0,125115.3,0.3
Region IV-A (Calabarzon),Batangas,151.8401961,633.7588235,74.25686275,0.109803922,261.5960784,705.645098,3.002941176,925.6107843,109.5392157,103.5009804,634.3323529,75.00098039,0.047058824,261.7284314,532.7137255,8.143137255,2.803921569,1134.698039,131.8431373,133.1382353,572.4186275,75.88431373,,261.7754902,374.1264706,1.768627451,1.431372549,1324.579412,111.5558824,158.1303922,585.4303922,77.17254902,368.1294118,0.047058824,261.6588235,300.7284314,1.63627451,1.540196078,1364.702941,104.3823529,146.3068627,618.0156863,81.17254902,378.9813725,0.05,261.5960784,312.9107843,2.364705882,1.368627451,1304.976471,113.2421569,6529.1,10140.1,519.8,1.5,11248.6,30342.7,129.1,39801.3,4710.2,103422.5,0.3,-0.8,4450.5,10149.3,525.0,0.6,11254.3,22906.7,350.2,48792.0,5669.3,120.6,104218.5,0.3,5724.9,9158.7,531.2,,11256.3,16087.4,76.1,56956.9,4796.9,61.5,104650.0,0.3,6799.6,9366.9,540.2,0.6,11251.3,12931.3,70.4,58682.2,4488.4,66.2,5890.1,110087.3,0.3,6291.2,9888.3,568.2,0.7,11248.6,13455.2,101.7,56114.0,4869.4,58.9,6063.7,108659.8,0.3
Region IV-A (Calabarzon),Cavite,24.3627451,357.5931373,134.8470588,0.537254902,12.61568627,174.8245098,,260.895098,71.78431373,13.63431373,336.7705882,137.822549,0.537254902,12.61568627,106.4058824,0.5,,334.0029412,92.19117647,20.79019608,306.5960784,142.572549,0.537254902,12.61568627,69.67352941,,,390.9147059,72.32156863,29.32058824,299.0862745,148.5411765,234.1666667,0.237254902,12.61568627,59.33333333,,,400.6137255,55.1872549,20.47254902,327.8529412,156.5215686,222.9460784,0.237254902,12.61568627,80.27843137,,,375.3313725,43.29705882,1047.6,5721.5,943.9,7.4,542.5,7517.5,,11218.5,3086.7,30085.5,0.1,-1.0,586.3,5388.3,964.8,7.4,542.5,4575.5,21.5,14362.1,3964.2,,30412.5,0.1,894.0,4905.5,998.0,7.4,542.5,2996.0,,16809.3,3109.8,,30262.5,0.1,1260.8,4785.4,1039.8,3.3,542.5,2551.3,,17226.4,2373.1,,3746.7,33529.1,0.1,880.3,5245.6,1095.7,3.3,542.5,3452.0,,16139.2,1861.8,,3567.1,32787.5,0.1
Region IV-A (Calabarzon),Laguna,145.9088235,210.9058824,136.2107843,,425.1568627,820.5911765,,257.7127451,39.46764706,125.8990196,186.7578431,137.4666667,,425.1568627,726.4431373,,,354.9941176,61.15098039,180.8843137,178.7843137,141.3323529,,425.1568627,549.4382353,,,484.1098039,54.74705882,167.8970588,187.2401961,144.6117647,106.6637255,,425.1568627,426.1686275,,,610.0627451,47.76960784,212.327451,212.2960784,153.5764706,94.6127451,,425.1568627,426.7970588,,,556.7617647,37.29215686,6274.1,3374.5,953.5,,18281.7,35285.4,,11081.6,1697.1,76948.0,0.2,-0.9,5413.7,2988.1,962.3,,18281.7,31237.1,,15264.7,2629.5,,76777.1,0.2,7778.0,2860.5,989.3,,18281.7,23625.8,,20816.7,2354.1,,76706.3,0.2,7219.6,2995.8,1012.3,,18281.7,18325.3,,26232.7,2054.1,,1706.6,77828.1,0.2,9130.1,3396.7,1075.0,,18281.7,18352.3,,23940.8,1603.6,,1513.8,77294.0,0.2
Region IV-A (Calabarzon),Quezon,469.2892157,202.0833333,45.65,,117.3431373,5294.60098,,1777.118627,31.6,483.1313725,219.0784314,45.65,,117.4372549,5053.543137,1.75,0.647058824,2027.934314,50.64117647,584.0460784,182.2941176,45.65,,117.3431373,4775.969608,0.25,0.245098039,2277.912745,35.66666667,545.1696078,205.827451,45.65,127.5784314,,117.3431373,4349.333333,0.5,0.245098039,2746.117647,35.49803922,735.4333333,251.3529412,45.65,91.33039216,,117.3431373,4245.027451,1.25,0.538235294,2642.15,26.83823529,20179.4,3233.3,319.6,,5045.8,227667.8,,76416.1,1358.8,334220.8,1.0,0.0,20774.6,3505.3,319.6,,5049.8,217302.4,75.3,87201.2,2177.6,27.8,336433.4,1.0,25114.0,2916.7,319.6,,5045.8,205366.7,10.8,97950.2,1533.7,10.5,338267.9,1.0,23442.3,3293.2,319.6,,5045.8,187021.3,21.5,118083.1,1526.4,10.5,2041.3,340804.9,0.9,31623.6,4021.6,319.6,,5045.8,182536.2,53.8,113612.5,1154.0,23.1,1461.3,339851.4,1.0
Region IV-A (Calabarzon),Rizal,42.42647059,145.8303922,98.40686275,,385.1323529,329.0421569,,523.8901961,35.39803922,49.74803922,158,99.59215686,,384.8823529,264.6588235,,,592.4980392,38.98529412,75.36470588,130.75,103.0921569,,384.8823529,233.6892157,,,623.0078431,35.55784314,69.55,124.2647059,106.8156863,65.12843137,,384.8823529,227.8637255,,,622.9333333,43.74607843,67.4254902,123.1872549,109.3156863,70.70098039,,384.8823529,241.8343137,,,620.0039216,29.58431373,1824.3,2333.3,688.8,,16560.7,14148.8,,22527.3,1522.1,59605.4,0.1,-0.9,2139.2,2528.0,697.1,,16549.9,11380.3,,25477.4,1676.4,,60448.4,0.1,3240.7,2092.0,721.6,,16549.9,10048.6,,26789.3,1529.0,,60971.2,0.1,2990.7,1988.2,747.7,,16549.9,9798.1,,26786.1,1881.1,,1042.1,61783.9,0.1,2899.3,1971.0,765.2,,16549.9,10398.9,,26660.2,1272.1,,1131.2,61647.8,0.2
Region IV (Southern Tagalog),Marinduque,142.1009804,4.706862745,2,,18.90686275,414.6990196,0.219607843,289.6647059,7.117647059,157.8294118,2.206862745,2,,18.90686275,393.3754902,0.231372549,0.335294118,302.377451,6.735294118,128.0794118,0.456862745,2,,18.90686275,370.4068627,0.188235294,0.333333333,362.1656863,2.75,111.4735294,0.456862745,2,,,18.90686275,330.7019608,0.378431373,0.521568627,417.4784314,2,155.6392157,1.206862745,2,,,18.90686275,251.0901961,0.234313725,0.293137255,453.7009804,3.100980392,6110.3,75.3,14.0,,813.0,17832.1,9.4,12455.6,306.1,37615.8,0.1,-1.0,6786.7,35.3,14.0,,813.0,16915.1,9.9,13002.2,289.6,14.4,37880.3,0.1,5507.4,7.3,14.0,,813.0,15927.5,8.1,15573.1,118.3,14.3,37983.0,0.1,4793.4,7.3,14.0,,813.0,14220.2,16.3,17951.6,86.0,22.4,,37924.1,0.1,6692.5,19.3,14.0,,813.0,10796.9,10.1,19509.1,133.3,12.6,,38000.8,0.1
Region IV (Southern Tagalog),Mindoro Occidental,198.0921569,628.6019608,12.3,1.042156863,92.87254902,1891.809804,3.473529412,1812.617647,1042.783333,214.9470588,662.4441176,12.3,1.665686275,93.26960784,1764.634314,15.82156863,20.51960784,1896.244118,1066.811765,225.0078431,643.677451,12.3,0.75,93.01960784,1618.406863,11.17647059,13.15,2097.35098,1020.982353,241.6333333,673.6009804,12.3,123.25,1.25,92.76960784,1542.49902,16.70098039,10.12745098,2151.731373,982.6970588,246.9823529,670.577451,12.3,114.5,1.474509804,92.87254902,1454.120588,12.20392157,4.724509804,2243.512745,993.5529412,8518.0,10057.6,86.1,14.3,3993.5,81347.8,149.4,77942.6,44839.7,226949.0,0.6,0.0,9242.7,10599.1,86.1,22.9,4010.6,75879.3,680.3,81538.5,45872.9,882.3,228814.8,0.7,9675.3,10298.8,86.1,10.3,3999.8,69591.5,480.6,90186.1,43902.2,565.5,228796.3,0.7,10390.2,10777.6,86.1,17.2,3989.1,66327.5,718.1,92524.4,42256.0,435.5,1972.0,229493.7,0.6,10620.2,10729.2,86.1,20.3,3993.5,62527.2,524.8,96471.0,42722.8,203.2,1832.0,229730.3,0.6
Region IV (Southern Tagalog),Mindoro Oriental,720.4098039,220.8715686,9.5,,115.4352941,1881.698039,,813.9990196,316.1029412,709.9039216,236.8686275,9.5,,115.4352941,1758.672549,,0.749019608,916.1107843,354.6901961,662.3529412,252.4009804,9.5,,115.2921569,1543.883333,0.25,0.249019608,1199.505882,325.0411765,595.2019608,357.9990196,9.5,109.75,,115.2921569,1361.812745,0.076470588,,1386.158824,281.1803922,851.295098,475.8852941,9.5,77.5,,115.2921569,1092.658824,,,1430.194118,162.3284314,30977.6,3533.9,66.5,,4963.7,80913.0,,35002.0,13592.4,169049.2,0.5,0.0,30525.9,3789.9,66.5,,4963.7,75622.9,,39392.8,15251.7,32.2,169645.6,0.5,28481.2,4038.4,66.5,,4957.6,66387.0,10.8,51578.8,13976.8,10.7,169507.6,0.5,25593.7,5728.0,66.5,,4957.6,58557.9,3.3,59604.8,12090.8,,1756.0,168358.6,0.5,36605.7,7614.2,66.5,,4957.6,46984.3,,61498.3,6980.1,,1240.0,165946.7,0.5
Region IV (Southern Tagalog),Romblon,137.8107843,8.75,2.362745098,,50.56862745,577.5509804,0.475490196,424.1166667,30.94019608,190.8156863,6.75,2.362745098,,50.56862745,557.8215686,0.25,0.684313725,423.0764706,25.66666667,202.1539216,1.25,2.362745098,,50.56862745,525.9921569,0.511764706,1.033333333,461.8676471,9.775490196,155.5411765,0.997058824,2.362745098,0.25,,50.73235294,526.5411765,0.907843137,1.033333333,505.2264706,13.53333333,223.1862745,0.747058824,2.362745098,0.5,,50.56862745,496.6833333,0.185294118,1.470588235,468.0441176,7.533333333,5925.9,140.0,16.5,,2174.5,24834.7,20.4,18237.0,1330.4,52679.4,0.1,#DIV/0!,8205.1,108.0,16.5,,2174.5,23986.3,10.8,18192.3,1103.7,29.4,53826.5,0.1,8692.6,20.0,16.5,,2174.5,22617.7,22.0,19860.3,420.3,44.4,53868.4,0.1,6688.3,16.0,16.5,,2181.5,22641.3,39.0,21724.7,581.9,44.4,4.0,53937.7,0.1,9597.0,12.0,16.5,,2174.5,21357.4,8.0,20125.9,323.9,63.2,8.0,53686.4,0.1
